name,price,num_reviews,per_cnt_price,url,timestamp
"Disposable Face Mask, Breathable Masks (Pack of 50)",28.99,189,($0.58/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00897123VBVNB8BN425U&url=%2FDisposable-Face-Mask-Breathable-Masks%2Fdp%2FB089HW9VSV%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-1-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_atf,2020-07-15 15:23:27
"Face Masks, Pack of 50, Comfortable to wear, Adult",29.98,3,($0.60/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08186131EI4O72HARKGZ&url=%2FFace-Masks-Pack-Comfortable-Adult%2Fdp%2FB08BF78VR3%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-2-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_atf,2020-07-15 15:23:27
"Face Mask Disposable Masks in packs of 50, 100, 250, or 500 pieces - Breathable, 3-Ply, Non-Medical bulk Masks (50 pack)",17.99,4,($0.36/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10238981HDI0MKWRUT1H&url=%2FFace-Disposable-Masks-packs-pieces%2Fdp%2FB08BX78DJD%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-3-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_atf,2020-07-15 15:23:27
Face Masks - 50 Pack - Comfortable to wear,34.99,8,($0.70/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0236426374NPAUE4BDPK&url=%2FFace-Masks-Pack-Comfortable-wear%2Fdp%2FB089GV9LTX%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-4-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_atf,2020-07-15 15:23:27
"KN95 Face Mask, Pack of 5",20.00,17,($4.00/Item),https://amazon.com//KN95-Face-Mask-Pack-5/dp/B086JBZXPT/ref=sr_1_5?dchild=1&keywords=Masks&qid=1594841003&sr=8-5,2020-07-15 15:23:27
"SupplyAID RRS-KN95-5PK KN95 Mask, Protection Against PM2.5 Dust. Pollen and Haze-Proof, 5 Pack",17.78,79,($3.56/Count),https://amazon.com//SupplyAID-RRS-KN95-5PK-Protection-Against-Haze-Proof/dp/B086JD7TKZ/ref=sr_1_6?dchild=1&keywords=Masks&qid=1594841003&sr=8-6,2020-07-15 15:23:27
"KN95 Face Mask, Pack of 10",35.55,5,($3.56/Item),https://amazon.com//KN95-Face-Mask-Pack-10/dp/B086JTS3D8/ref=sr_1_7?dchild=1&keywords=Masks&qid=1594841003&sr=8-7,2020-07-15 15:23:27
"Feradyne KN95 Mask PPE5012 GB 2626-2006, pack of 10 mask",31.27,3,($3.13/Item),https://amazon.com//Feradyne-KN95-Mask-PPE5012-2626-2006/dp/B086R883Q8/ref=sr_1_8?dchild=1&keywords=Masks&qid=1594841003&sr=8-8,2020-07-15 15:23:27
"KN95 Face Mask, GB2626-2006, Pack of 20",62.99,43,($3.15/Item),https://amazon.com//KN95-Face-Mask-GB2626-2006-Pack/dp/B087RJ9JCF/ref=sr_1_9?dchild=1&keywords=Masks&qid=1594841003&sr=8-9,2020-07-15 15:23:27
"KN95 Mask - Non-NIOSH Approved Respirator, pack of 50",132.15,2,($2.64/Item),https://amazon.com//KN95-Mask-Non-NIOSH-Approved-Respirator/dp/B086W7BKZZ/ref=sr_1_10?dchild=1&keywords=Masks&qid=1594841003&sr=8-10,2020-07-15 15:23:27
