name,price,num_reviews,per_cnt_price,url
"Disposable Face Mask, Breathable Masks (Pack of 50)",28.99,151,($0.58/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00897123VBVNB8BN425U&url=%2FDisposable-Face-Mask-Breathable-Masks%2Fdp%2FB089HW9VSV%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-1-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_atf
"Face Masks, 50 Units/Box",29.99,4,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07383922UB4GECVH78OY&url=%2FFace-Masks-50-Units-Box%2Fdp%2FB089YWSLKB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-2-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_atf
Face Masks - 50 Pack - Comfortable to wear,34.99,3,($0.70/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00136492CGEB58GVPTVX&url=%2FFace-Masks-Pack-Comfortable-wear%2Fdp%2FB089GV9LTX%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-3-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_atf
Personal Outdoor Face Mouth Masks - 50 Pack/Box,33.99,4,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09206751C84QLN0806CY&url=%2FPersonal-Outdoor-Face-Mouth-Masks%2Fdp%2FB089LQT6X3%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-4-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_atf
Purism KN95 (20 Masks per Box),40.00,7,-,https://amazon.com//Purism-KN95-20-Masks-Box/dp/B085BNBZDR/ref=sr_1_5?dchild=1&keywords=Masks&qid=1594605010&sr=8-5
"KN95 Face Mask, Pack of 5",20.00,13,($4.00/Item),https://amazon.com//KN95-Face-Mask-Pack-5/dp/B086JBZXPT/ref=sr_1_6?dchild=1&keywords=Masks&qid=1594605010&sr=8-6
"SupplyAID RRS-KN95-5PK KN95 Mask, Protection Against PM2.5 Dust. Pollen and Haze-Proof, 5 Pack",17.98,64,($3.60/Count),https://amazon.com//SupplyAID-RRS-KN95-5PK-Protection-Against-Haze-Proof/dp/B086JD7TKZ/ref=sr_1_7?dchild=1&keywords=Masks&qid=1594605010&sr=8-7
"KN95 Face Mask, Pack of 10",35.55,2,($3.56/Item),https://amazon.com//KN95-Face-Mask-Pack-10/dp/B086JTS3D8/ref=sr_1_8?dchild=1&keywords=Masks&qid=1594605010&sr=8-8
"Feradyne KN95 Mask PPE5012 GB 2626-2006, pack of 10 mask",31.27,0,($3.13/Item),https://amazon.com//Feradyne-KN95-Mask-PPE5012-2626-2006/dp/B086R883Q8/ref=sr_1_9?dchild=1&keywords=Masks&qid=1594605010&sr=8-9
"KN95 Face Mask, GB2626-2006, Pack of 20",62.99,37,($3.15/Item),https://amazon.com//KN95-Face-Mask-GB2626-2006-Pack/dp/B087RJ9JCF/ref=sr_1_10?dchild=1&keywords=Masks&qid=1594605010&sr=8-10
"KN95 Mask - Non-NIOSH Approved Respirator, pack of 50",132.15,1,($2.64/Item),https://amazon.com//M%C3%A1scara-KN95-Respirador-aprobado-paquete/dp/B086W7BKZZ/ref=sr_1_11?dchild=1&keywords=Masks&qid=1594605010&sr=8-11
Kids Single Use Disposable Face Mask (Pack of 50),30.37,19,-,https://amazon.com//Kids-Single-Disposable-Face-Solid/dp/B087Z8GB88/ref=sr_1_12?dchild=1&keywords=Masks&qid=1594605010&sr=8-12
"Wembley Unisex Laboratory-Tested Adjustable and Washable Silver Linings Face Mask with 10- Replaceable Filters, Beige, One Size",19.99,14,-,https://amazon.com//Wembley-Laboratory-Tested-Adjustable-Washable-Replaceable/dp/B0892SKYXV/ref=sr_1_13?dchild=1&keywords=Masks&qid=1594605010&sr=8-13
"Face Mask, Pack of 50",29.99,"12,189",($0.60/Item),https://amazon.com//Face-Mask-Pack-of-50/dp/B086KMYNSS/ref=sr_1_14?dchild=1&keywords=Masks&qid=1594605010&sr=8-14
Modenna Face Mask Disposable Blue 50Pcs,19.99,"3,472",($0.40/Count),https://amazon.com//Modenna-Face-Mask-Disposable-50Pcs/dp/B086HKN7SS/ref=sr_1_15?dchild=1&keywords=Masks&qid=1594605010&sr=8-15
"5 Pack Fashion Protective, Reusable Cotton Fabric, Unisex Black Cotton, Washable",23.80,638,($4.76/Count),https://amazon.com//Fashion-Protective-Reusable-Cotton-Washable/dp/B087LXGQW6/ref=sr_1_16?dchild=1&keywords=Masks&qid=1594605010&sr=8-16
"Disposable Masks, AXHKIO Disposable Breathable 3 Ply Mask, with Elastic Earloops (50 Pcs)",25.99,37,($0.52/Count),https://amazon.com//Disposable-AXHKIO-Breathable-Elastic-Earloops/dp/B0897QFZ1R/ref=sr_1_17?dchild=1&keywords=Masks&qid=1594605010&sr=8-17
"Face Mask, Pack of 50",29.99,"2,180",($0.60/Item),https://amazon.com//Face-Mask-Pack-of-50/dp/B086JBF8F3/ref=sr_1_18?dchild=1&keywords=Masks&qid=1594605010&sr=8-18
Bigox Face Mask Disposable Earloop Blue 50Pcs,19.99,772,($0.40/Count),https://amazon.com//Bigox-Face-Disposable-Earloop-50Pcs/dp/B087RRWGJB/ref=sr_1_19?dchild=1&keywords=Masks&qid=1594605010&sr=8-19
iHeartRaves Seamless Face Cover Mouth Mask Scarf Bandanas Neck Gaiter - Dust & UV Sun-Protection for Festivals and Outdoors,12.95,162,-,https://amazon.com//iHeartRaves-M%C3%A1scara-costuras-protecci%C3%B3n-festivales/dp/B07B6963P6/ref=sr_1_20?dchild=1&keywords=Masks&qid=1594605010&sr=8-20
"5 Pack Fashion Protective, Unisex Black Dust Cotton, Washable, Reusable Cotton Fabric",21.99,179,($4.40/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01669891PZM671RW95FV&url=%2FFashion-Protective-Unisex-Washable-Reusable%2Fdp%2FB089R31T4K%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-21-spons%26psc%3D1%26smid%3DA1YUY7TPUWYUBD&qualifier=1594605010&id=8087021197311779&widgetName=sp_mtf
"Face Masks, Pack of 50, Comfortable to wear, Adult",27.99,3,($0.56/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08186131EI4O72HARKGZ&url=%2FFace-Masks-Pack-Comfortable-Adult%2Fdp%2FB08BF78VR3%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-22-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_mtf
"Face Mask Disposable Masks 100 pieces With 10 Bonus Wipes - Breathable, 3-Ply, Non-Medical bulk Masks (100 pack)",37.99,0,($0.38/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04228713OIJ56VWN8S1&url=%2FDisposable-Masks-pieces-Bonus-Wipes%2Fdp%2FB08C6CQP28%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-23-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_mtf
"5 Pack Fashion Protective, Unisex Black Dust Cotton, Reusable Cotton Fabric",22.99,2,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05359333IIPNYA16YJZ1&url=%2FFashion-Protective-Unisex-Cotton-Reusable%2Fdp%2FB089SNTQPH%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-24-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_mtf
"5 Pack Fashion Protective, Unisex Black Dust Cotton, Reusable Cotton Fabric",19.88,379,($3.98/Count),https://amazon.com//Fashion-Protective-Unisex-Cotton-Reusable/dp/B088K63VYJ/ref=sr_1_25?dchild=1&keywords=Masks&qid=1594605010&sr=8-25
"3ply Disposable Face Mask, 50 Count",29.99,252,($0.60/Count),https://amazon.com//3ply-Disposable-Face-Mask-Count/dp/B08852WYM2/ref=sr_1_26?dchild=1&keywords=Masks&qid=1594605010&sr=8-26
"Disposable Face Mask, Pack of 50, New Packaging",29.99,170,($0.60/Item),https://amazon.com//Mascarilla-facial-50-unidades/dp/B088GKG1RN/ref=sr_1_27?dchild=1&keywords=Masks&qid=1594605010&sr=8-27
"Face Mask, Pack of 50",29.99,526,($0.60/Item),https://amazon.com//Face-Mask-Pack-of-50/dp/B086RP7G38/ref=sr_1_28?dchild=1&keywords=Masks&qid=1594605010&sr=8-28
50 Pcs Disposable Face Masks 3 Ply Protection Safety Mask for Dust Air Pollution Personal Protective Mouth Cover for Facial Prevention Earloop Masks Bulk Blue Indoor and Outdoor Use,25.99,564,($0.52/Count),https://amazon.com//Disposable-Protection-Pollution-Protective-Prevention/dp/B086HMXMH9/ref=sr_1_29?dchild=1&keywords=Masks&qid=1594605010&sr=8-29
"50pcs Disposable Face Mask, Facial Masks, Mouth Masks 3-Ply with Elastic Earloops, Breathable Non-woven Mouth Filter Covers for Home, Office, Outdoor - Blue",22.98,254,-,https://amazon.com//mask50/dp/B087YVJXNL/ref=sr_1_30?dchild=1&keywords=Masks&qid=1594605010&sr=8-30
"Single Use Disposable Face Mask (Pack of 50), Blue",29.99,884,($0.60/Item),https://amazon.com//Single-Disposable-Face-Mask-Pack/dp/B086T638CS/ref=sr_1_31?dchild=1&keywords=Masks&qid=1594605010&sr=8-31
Reusable Cotton Face Mask (Pack of 50),30.99,"1,303",-,https://amazon.com//Reusable-Cotton-Face-Mask-Pack/dp/B086WC1LDD/ref=sr_1_32?dchild=1&keywords=Masks&qid=1594605010&sr=8-32
INTO THE AM Seamless Face Cover Mouth Mask Scarf Bandanas Neck Gaiter - Dust & UV Sun-Protection for Festivals and Outdoors,12.95,244,-,https://amazon.com//INTO-AM-Matter-Seamless-Bandana/dp/B07B67XGS7/ref=sr_1_33?dchild=1&keywords=Masks&qid=1594605010&sr=8-33
"MSAAEX Disposable Face Mask for Air Pollution, Dustproof Mouth Cover, 3-ply Safety Mask (50)",19.88,231,($0.40/Count),https://amazon.com//MSAAEX-Disposable-Pollution-Dustproof-Safety/dp/B087X9RZTD/ref=sr_1_34?dchild=1&keywords=Masks&qid=1594605010&sr=8-34
Disposable Face Mask - Pack of 50 - Blue,28.65,427,($0.57/Item),https://amazon.com//M%C3%A1scara-facial-desechable-unidades-color/dp/B086MPXGKJ/ref=sr_1_35?dchild=1&keywords=Masks&qid=1594605010&sr=8-35
Gildan Reusable Adult Tie-On Triple Layer Mask (Pack of 48),39.99,281,-,https://amazon.com//Gildan-Reusable-Adult-Triple-Layer/dp/B086QS2YHF/ref=sr_1_36?dchild=1&keywords=Masks&qid=1594605010&sr=8-36
Unisex Washable and Reusable Cotton Warm Face Protection for Outdoor,12.99,292,($6.50/Count),https://amazon.com//Unisex-Washable-Reusable-Protection-Outdoor/dp/B088FVJTXG/ref=sr_1_37?dchild=1&keywords=Masks&qid=1594605010&sr=8-37
Quality Durables Adults and Kids 4-Pack Reusable Face Covering,18.00,396,-,https://amazon.com//Quality-Durables-Reusable-Covering-Heather/dp/B088BWP7VH/ref=sr_1_38?dchild=1&keywords=Masks&qid=1594605010&sr=8-38
"TomrickCare Face Masks, 3-Ply Breathable Masks 5 sets of 10 per Box,  Comfortable Earloops(50 Pack)",27.31,129,($0.55/Count),https://amazon.com//TomrickCare-Masks-Breathable-Comfortable-Earloops/dp/B0892T3YLS/ref=sr_1_39?dchild=1&keywords=Masks&qid=1594605010&sr=8-39
